DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2010-06-17 23:00:00,119.625,20101200,120.71875,20100900,119.625,20101200
2010-06-18 23:00:00,119.34375,20101200,120.4375,20100900,119.34375,20101200
2010-06-21 23:00:00,119.203125,20101200,120.296875,20100900,119.203125,20101200
2010-06-22 23:00:00,119.890625,20101200,120.90625,20100900,119.890625,20101200
2010-06-23 23:00:00,120.34375,20101200,121.359375,20100900,120.34375,20101200
2010-06-24 23:00:00,120.3125,20101200,121.328125,20100900,120.3125,20101200
2010-06-25 23:00:00,120.484375,20101200,121.484375,20100900,120.484375,20101200
2010-06-28 23:00:00,121.15625,20101200,122.140625,20100900,121.15625,20101200
2010-06-29 23:00:00,121.5625,20101200,122.53125,20100900,121.5625,20101200
2010-06-30 23:00:00,121.578125,20101200,122.546875,20100900,121.578125,20101200
2010-07-01 23:00:00,121.65625,20101200,122.609375,20100900,121.65625,20101200
2010-07-02 23:00:00,121.359375,20101200,122.3125,20100900,121.359375,20101200
2010-07-06 23:00:00,121.78125,20101200,122.734375,20100900,121.78125,20101200
2010-07-07 23:00:00,121.484375,20101200,122.4375,20100900,121.484375,20101200
2010-07-08 23:00:00,121.203125,20101200,122.15625,20100900,121.203125,20101200
2010-07-09 23:00:00,120.96875,20101200,121.921875,20100900,120.96875,20101200
2010-07-12 23:00:00,121.15625,20101200,122.109375,20100900,121.15625,20101200
2010-07-13 23:00:00,120.703125,20101200,121.65625,20100900,120.703125,20101200
2010-07-14 23:00:00,121.3125,20101200,122.234375,20100900,121.3125,20101200
2010-07-15 23:00:00,121.875,20101200,122.78125,20100900,121.875,20101200
2010-07-16 23:00:00,122.296875,20101200,123.203125,20100900,122.296875,20101200
2010-07-19 23:00:00,122.140625,20101200,123.03125,20100900,122.140625,20101200
2010-07-20 23:00:00,122.359375,20101200,123.234375,20100900,122.359375,20101200
2010-07-21 23:00:00,122.625,20101200,123.5,20100900,122.625,20101200
2010-07-22 23:00:00,122.296875,20101200,123.171875,20100900,122.296875,20101200
2010-07-23 23:00:00,121.796875,20101200,122.671875,20100900,121.796875,20101200
2010-07-26 23:00:00,121.84375,20101200,122.734375,20100900,121.84375,20101200
2010-07-27 23:00:00,121.421875,20101200,122.328125,20100900,121.421875,20101200
2010-07-28 23:00:00,121.9375,20101200,122.859375,20100900,121.9375,20101200
2010-07-29 23:00:00,122.1875,20101200,123.09375,20100900,122.1875,20101200
2010-07-30 23:00:00,122.921875,20101200,123.8125,20100900,122.921875,20101200
2010-08-02 23:00:00,122.5,20101200,123.421875,20100900,122.5,20101200
2010-08-03 23:00:00,123.078125,20101200,123.984375,20100900,123.078125,20101200
2010-08-04 23:00:00,122.734375,20101200,123.625,20100900,122.734375,20101200
2010-08-05 23:00:00,123.0,20101200,123.890625,20100900,123.0,20101200
2010-08-06 23:00:00,123.703125,20101200,124.578125,20100900,123.703125,20101200
2010-08-09 23:00:00,123.640625,20101200,124.515625,20100900,123.640625,20101200
2010-08-10 23:00:00,124.109375,20101200,124.984375,20100900,124.109375,20101200
2010-08-11 23:00:00,124.78125,20101200,125.609375,20100900,124.78125,20101200
2010-08-12 23:00:00,124.484375,20101200,125.34375,20100900,124.484375,20101200
2010-08-13 23:00:00,124.734375,20101200,125.578125,20100900,124.734375,20101200
2010-08-16 23:00:00,125.375,20101200,126.203125,20100900,125.375,20101200
2010-08-17 23:00:00,124.828125,20101200,125.671875,20100900,124.828125,20101200
2010-08-18 23:00:00,124.75,20101200,125.609375,20100900,124.75,20101200
2010-08-19 23:00:00,125.0625,20101200,125.953125,20100900,125.0625,20101200
2010-08-20 23:00:00,124.640625,20101200,125.53125,20100900,124.640625,20101200
2010-08-23 23:00:00,124.78125,20101200,125.65625,20100900,124.78125,20101200
2010-08-24 23:00:00,125.59375,20101200,126.40625,20100900,125.59375,20101200
2010-08-25 23:00:00,125.09375,20101200,125.921875,20100900,125.09375,20101200
2010-08-26 23:00:00,125.40625,20101200,126.21875,20100900,125.40625,20101200
2010-08-27 23:00:00,124.34375,20101200,125.1875,20100900,124.34375,20101200
2010-08-30 23:00:00,124.609375,20110300,125.28125,20101200,124.609375,20110300
2010-08-31 23:00:00,124.96875,20110300,125.625,20101200,124.96875,20110300
2010-09-01 23:00:00,124.140625,20110300,124.796875,20101200,124.140625,20110300
2010-09-02 23:00:00,123.890625,20110300,124.546875,20101200,123.890625,20110300
2010-09-03 23:00:00,123.359375,20110300,124.015625,20101200,123.359375,20110300
2010-09-07 23:00:00,124.1875,20110300,124.84375,20101200,124.1875,20110300
2010-09-08 23:00:00,123.75,20110300,124.4375,20101200,123.75,20110300
2010-09-09 23:00:00,122.921875,20110300,123.625,20101200,122.921875,20110300
2010-09-10 23:00:00,122.6875,20110300,123.390625,20101200,122.6875,20110300
2010-09-13 23:00:00,123.203125,20110300,123.90625,20101200,123.203125,20110300
2010-09-14 23:00:00,123.734375,20110300,124.4375,20101200,123.734375,20110300
2010-09-15 23:00:00,123.484375,20110300,124.1875,20101200,123.484375,20110300
2010-09-16 23:00:00,123.203125,20110300,123.90625,20101200,123.203125,20110300
2010-09-17 23:00:00,123.4375,20110300,124.140625,20101200,123.4375,20110300
2010-09-20 23:00:00,123.703125,20110300,124.40625,20101200,123.703125,20110300
2010-09-21 23:00:00,124.703125,20110300,125.375,20101200,124.703125,20110300
2010-09-22 23:00:00,124.90625,20110300,125.5625,20101200,124.90625,20110300
2010-09-23 23:00:00,124.921875,20110300,125.578125,20101200,124.921875,20110300
2010-09-24 23:00:00,124.59375,20110300,125.21875,20101200,124.59375,20110300
2010-09-27 23:00:00,125.359375,20110300,125.953125,20101200,125.359375,20110300
2010-09-28 23:00:00,125.859375,20110300,126.4375,20101200,125.859375,20110300
2010-09-29 23:00:00,125.5625,20110300,126.15625,20101200,125.5625,20110300
2010-09-30 23:00:00,125.453125,20110300,126.046875,20101200,125.453125,20110300
2010-10-01 23:00:00,125.484375,20110300,126.078125,20101200,125.484375,20110300
2010-10-04 23:00:00,125.890625,20110300,126.46875,20101200,125.890625,20110300
2010-10-05 23:00:00,126.046875,20110300,126.640625,20101200,126.046875,20110300
2010-10-06 23:00:00,126.515625,20110300,127.09375,20101200,126.515625,20110300
2010-10-07 23:00:00,126.578125,20110300,127.140625,20101200,126.578125,20110300
2010-10-08 23:00:00,126.765625,20110300,127.3125,20101200,126.765625,20110300
2010-10-11 23:00:00,126.890625,20110300,127.4375,20101200,126.890625,20110300
2010-10-12 23:00:00,126.5,20110300,127.078125,20101200,126.5,20110300
2010-10-13 23:00:00,126.640625,20110300,127.21875,20101200,126.640625,20110300
2010-10-14 23:00:00,126.03125,20110300,126.671875,20101200,126.03125,20110300
2010-10-15 23:00:00,125.53125,20110300,126.234375,20101200,125.53125,20110300
2010-10-18 23:00:00,126.21875,20110300,126.890625,20101200,126.21875,20110300
2010-10-19 23:00:00,126.359375,20110300,127.03125,20101200,126.359375,20110300
2010-10-20 23:00:00,126.359375,20110300,127.046875,20101200,126.359375,20110300
2010-10-21 23:00:00,125.9375,20110300,126.640625,20101200,125.9375,20110300
2010-10-22 23:00:00,125.6875,20110300,126.421875,20101200,125.6875,20110300
2010-10-25 23:00:00,125.703125,20110300,126.421875,20101200,125.703125,20110300
2010-10-26 23:00:00,124.96875,20110300,125.71875,20101200,124.96875,20110300
2010-10-27 23:00:00,124.4375,20110300,125.21875,20101200,124.4375,20110300
2010-10-28 23:00:00,125.078125,20110300,125.859375,20101200,125.078125,20110300
2010-10-29 23:00:00,125.5,20110300,126.28125,20101200,125.5,20110300
2010-11-01 23:00:00,125.5,20110300,126.3125,20101200,125.5,20110300
2010-11-02 23:00:00,125.75,20110300,126.53125,20101200,125.75,20110300
2010-11-03 23:00:00,125.8125,20110300,126.578125,20101200,125.8125,20110300
2010-11-04 23:00:00,126.96875,20110300,127.75,20101200,126.96875,20110300
2010-11-05 23:00:00,126.5625,20110300,127.421875,20101200,126.5625,20110300
2010-11-08 23:00:00,126.5,20110300,127.359375,20101200,126.5,20110300
2010-11-09 23:00:00,125.640625,20110300,126.53125,20101200,125.640625,20110300
2010-11-10 23:00:00,126.109375,20110300,126.96875,20101200,126.109375,20110300
2010-11-11 23:00:00,125.59375,20110300,126.484375,20101200,125.59375,20110300
2010-11-12 23:00:00,124.984375,20110300,125.9375,20101200,124.984375,20110300
2010-11-15 23:00:00,123.765625,20110300,124.765625,20101200,123.765625,20110300
2010-11-16 23:00:00,124.0625,20110300,125.046875,20101200,124.0625,20110300
2010-11-17 23:00:00,123.890625,20110300,124.875,20101200,123.890625,20110300
2010-11-18 23:00:00,123.484375,20110300,124.484375,20101200,123.484375,20110300
2010-11-19 23:00:00,123.53125,20110300,124.515625,20101200,123.53125,20110300
2010-11-22 23:00:00,124.171875,20110300,125.09375,20101200,124.171875,20110300
2010-11-23 23:00:00,124.53125,20110300,125.40625,20101200,124.53125,20110300
2010-11-24 23:00:00,123.34375,20110300,124.28125,20101200,123.34375,20110300
2010-11-26 23:00:00,123.65625,20110300,124.59375,20101200,123.65625,20110300
2010-11-29 23:00:00,123.09375,20110600,123.921875,20110300,123.09375,20110600
2010-11-30 23:00:00,123.28125,20110600,124.109375,20110300,123.28125,20110600
2010-12-01 23:00:00,122.0,20110600,122.828125,20110300,122.0,20110600
2010-12-02 23:00:00,121.609375,20110600,122.4375,20110300,121.609375,20110600
2010-12-03 23:00:00,121.796875,20110600,122.625,20110300,121.796875,20110600
2010-12-06 23:00:00,122.5,20110600,123.328125,20110300,122.5,20110600
2010-12-07 23:00:00,120.5625,20110600,121.390625,20110300,120.5625,20110600
2010-12-08 23:00:00,119.96875,20110600,120.796875,20110300,119.96875,20110600
2010-12-09 23:00:00,119.65625,20110600,120.765625,20110300,119.65625,20110600
2010-12-10 23:00:00,119.109375,20110600,120.21875,20110300,119.109375,20110600
2010-12-13 23:00:00,119.546875,20110600,120.65625,20110300,119.546875,20110600
2010-12-14 23:00:00,118.171875,20110600,119.28125,20110300,118.171875,20110600
2010-12-15 23:00:00,117.796875,20110600,118.90625,20110300,117.796875,20110600
2010-12-16 23:00:00,118.03125,20110600,119.21875,20110300,118.03125,20110600
2010-12-17 23:00:00,119.0625,20110600,120.25,20110300,119.0625,20110600
2010-12-20 23:00:00,118.890625,20110600,120.078125,20110300,118.890625,20110600
2010-12-21 23:00:00,119.046875,20110600,120.234375,20110300,119.046875,20110600
2010-12-22 23:00:00,118.8125,20110600,120.0,20110300,118.8125,20110600
2010-12-23 23:00:00,118.40625,20110600,119.59375,20110300,118.40625,20110600
2010-12-27 23:00:00,118.75,20110600,119.9375,20110300,118.75,20110600
2010-12-28 23:00:00,117.8125,20110600,119.03125,20110300,117.8125,20110600
2010-12-29 23:00:00,119.03125,20110600,120.25,20110300,119.03125,20110600
2010-12-30 23:00:00,118.765625,20110600,119.984375,20110300,118.765625,20110600
2010-12-31 23:00:00,119.21875,20110600,120.4375,20110300,119.21875,20110600
2011-01-03 23:00:00,119.0,20110600,120.171875,20110300,119.0,20110600
2011-01-04 23:00:00,119.15625,20110600,120.3125,20110300,119.15625,20110600
2011-01-05 23:00:00,118.0625,20110600,119.234375,20110300,118.0625,20110600
2011-01-06 23:00:00,118.625,20110600,119.8125,20110300,118.625,20110600
2011-01-07 23:00:00,119.515625,20110600,120.671875,20110300,119.515625,20110600
2011-01-10 23:00:00,119.734375,20110600,120.875,20110300,119.734375,20110600
2011-01-11 23:00:00,119.40625,20110600,120.546875,20110300,119.40625,20110600
2011-01-12 23:00:00,119.40625,20110600,120.5625,20110300,119.40625,20110600
2011-01-13 23:00:00,119.953125,20110600,121.109375,20110300,119.953125,20110600
2011-01-14 23:00:00,119.6875,20110600,120.859375,20110300,119.6875,20110600
2011-01-18 23:00:00,119.359375,20110600,120.59375,20110300,119.359375,20110600
2011-01-19 23:00:00,119.5625,20110600,120.78125,20110300,119.5625,20110600
2011-01-20 23:00:00,118.5625,20110600,119.828125,20110300,118.5625,20110600
2011-01-21 23:00:00,118.921875,20110600,120.15625,20110300,118.921875,20110600
2011-01-24 23:00:00,118.984375,20110600,120.234375,20110300,118.984375,20110600
2011-01-25 23:00:00,119.765625,20110600,120.921875,20110300,119.765625,20110600
2011-01-26 23:00:00,119.046875,20110600,120.25,20110300,119.046875,20110600
2011-01-27 23:00:00,119.46875,20110600,120.671875,20110300,119.46875,20110600
2011-01-28 23:00:00,119.953125,20110600,121.15625,20110300,119.953125,20110600
2011-01-31 23:00:00,119.546875,20110600,120.796875,20110300,119.546875,20110600
2011-02-01 23:00:00,119.015625,20110600,120.296875,20110300,119.015625,20110600
2011-02-02 23:00:00,118.609375,20110600,119.890625,20110300,118.609375,20110600
2011-02-03 23:00:00,118.140625,20110600,119.4375,20110300,118.140625,20110600
2011-02-04 23:00:00,117.078125,20110600,118.578125,20110300,117.078125,20110600
2011-02-07 23:00:00,117.078125,20110600,118.609375,20110300,117.078125,20110600
2011-02-08 23:00:00,116.375,20110600,117.984375,20110300,116.375,20110600
2011-02-09 23:00:00,117.015625,20110600,118.578125,20110300,117.015625,20110600
2011-02-10 23:00:00,116.46875,20110600,118.125,20110300,116.46875,20110600
2011-02-11 23:00:00,116.90625,20110600,118.5,20110300,116.90625,20110600
2011-02-14 23:00:00,117.078125,20110600,118.625,20110300,117.078125,20110600
2011-02-15 23:00:00,117.15625,20110600,118.640625,20110300,117.15625,20110600
2011-02-16 23:00:00,117.140625,20110600,118.59375,20110300,117.140625,20110600
2011-02-17 23:00:00,117.578125,20110600,119.015625,20110300,117.578125,20110600
2011-02-18 23:00:00,117.625,20110600,119.0625,20110300,117.625,20110600
2011-02-22 23:00:00,118.75,20110600,120.09375,20110300,118.75,20110600
2011-02-23 23:00:00,118.5,20110600,119.8125,20110300,118.5,20110600
2011-02-24 23:00:00,118.78125,20110600,120.046875,20110300,118.78125,20110600
2011-02-25 23:00:00,117.71875,20110900,118.9375,20110600,117.71875,20110900
2011-02-28 23:00:00,117.890625,20110900,119.046875,20110600,117.890625,20110900
2011-03-01 23:00:00,117.9375,20110900,119.125,20110600,117.9375,20110900
2011-03-02 23:00:00,117.53125,20110900,118.71875,20110600,117.53125,20110900
2011-03-03 23:00:00,116.640625,20110900,117.828125,20110600,116.640625,20110900
